x     v
0.000000e+00      0.000000e+00
1.010101e-02      8.590248e-02
2.020202e-02      1.625822e-01
3.030303e-02      2.309252e-01
4.040404e-02      2.917325e-01
5.050505e-02      3.457281e-01
6.060606e-02      3.935664e-01
7.070707e-02      4.358390e-01
8.080808e-02      4.730806e-01
9.090909e-02      5.057745e-01
1.010101e-01      5.343578e-01
1.111111e-01      5.592253e-01
1.212121e-01      5.807340e-01
1.313131e-01      5.992067e-01
1.414141e-01      6.149350e-01
1.515152e-01      6.281825e-01
1.616162e-01      6.391877e-01
1.717172e-01      6.481660e-01
1.818182e-01      6.553121e-01
1.919192e-01      6.608020e-01
2.020202e-01      6.647949e-01
2.121212e-01      6.674345e-01
2.222222e-01      6.688510e-01
2.323232e-01      6.691617e-01
2.424242e-01      6.684730e-01
2.525253e-01      6.668809e-01
2.626263e-01      6.644721e-01
2.727273e-01      6.613252e-01
2.828283e-01      6.575110e-01
2.929293e-01      6.530937e-01
3.030303e-01      6.481312e-01
3.131313e-01      6.426759e-01
3.232323e-01      6.367750e-01
3.333333e-01      6.304716e-01
3.434343e-01      6.238041e-01
3.535354e-01      6.168076e-01
3.636364e-01      6.095137e-01
3.737374e-01      6.019510e-01
3.838384e-01      5.941453e-01
3.939394e-01      5.861200e-01
4.040404e-01      5.778961e-01
4.141414e-01      5.694927e-01
4.242424e-01      5.609270e-01
4.343434e-01      5.522148e-01
4.444444e-01      5.433699e-01
4.545455e-01      5.344053e-01
4.646465e-01      5.253323e-01
4.747475e-01      5.161615e-01
4.848485e-01      5.069021e-01
4.949495e-01      4.975628e-01
5.050505e-01      4.881511e-01
5.151515e-01      4.786741e-01
5.252525e-01      4.691380e-01
5.353535e-01      4.595485e-01
5.454545e-01      4.499107e-01
5.555556e-01      4.402293e-01
5.656566e-01      4.305085e-01
5.757576e-01      4.207519e-01
5.858586e-01      4.109632e-01
5.959596e-01      4.011453e-01
6.060606e-01      3.913011e-01
6.161616e-01      3.814331e-01
6.262626e-01      3.715436e-01
6.363636e-01      3.616346e-01
6.464646e-01      3.517080e-01
6.565657e-01      3.417656e-01
6.666667e-01      3.318087e-01
6.767677e-01      3.218389e-01
6.868687e-01      3.118574e-01
6.969697e-01      3.018653e-01
7.070707e-01      2.918635e-01
7.171717e-01      2.818531e-01
7.272727e-01      2.718349e-01
7.373737e-01      2.618095e-01
7.474747e-01      2.517778e-01
7.575758e-01      2.417403e-01
7.676768e-01      2.316975e-01
7.777778e-01      2.216501e-01
7.878788e-01      2.115983e-01
7.979798e-01      2.015427e-01
8.080808e-01      1.914836e-01
8.181818e-01      1.814213e-01
8.282828e-01      1.713562e-01
8.383838e-01      1.612885e-01
8.484848e-01      1.512185e-01
8.585859e-01      1.411463e-01
8.686869e-01      1.310723e-01
8.787879e-01      1.209965e-01
8.888889e-01      1.109192e-01
8.989899e-01      1.008405e-01
9.090909e-01      9.076048e-02
9.191919e-01      8.067933e-02
9.292929e-01      7.059714e-02
9.393939e-01      6.051401e-02
9.494949e-01      5.043003e-02
9.595960e-01      4.034529e-02
9.696970e-01      3.025985e-02
9.797980e-01      2.017378e-02
9.898990e-01      1.008715e-02
1.000000e+00      0.000000e+00
